Comuna;Tipo_Vivienda;N_Habitaciones;N_Baños;N_Estacionamientos;Total_Superficie_M2;Superficie_Construida_M2; Valor_UF ;Valor_CLP;Dirección;Quién_Vende;Corredor
Conchalí;Casa;4;2;2;181;114;3993;115000000;Conchalí, Cardenal Caro metro station;Macarena Salinas Gormaz;Vende Dueño/a
Conchalí;Casa;5;2;3;189;171;5729;165000000;Conchalí, Niterói;Jaime Eduardo Castilla;castillapropiedades
Conchalí;Casa;6;2;3;200;140;4861;140000000;;Sandra Vargas Céspedes;Alianza Pro Gestión Inmobiliaria
Conchalí;Casa;3;1;2;212;76;3403;98000000;Conchalí, Porto Alegre 1415;Isaac Lar Fuentes;Vende Dueño/a
Conchalí;Casa;3;2;No;160;103;4166;120000000;Conchalí, Tokio;María Fernanda;Invierte Propiedades
Conchalí;Casa;3;2;2;164;122;3125;90000000;;Sandra Vargas Céspedes;Alianza Pro Gestión Inmobiliaria
Conchalí;Casa;3;3;3;200;160;7465;215000000;Conchalí, Eibar 1542;Corredores Asociados;Corredores Asociados
Conchalí;Casa;3;1;No;340;160;3646;105000000;Conchalí, Casa en Carlos Salas Herrera;Armacima LImitada;Armacima Propiedades
Conchalí;Casa;4;2;No;0;123;5034;145000000;Conchalí, Calle g/pasaje iloca;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Conchalí;Casa;2;1;No;200;96;2604;75000000;Conchalí, Campanario/Pucón;Aleida Lama Propiedades;Aleida Lama Propiedades
Conchalí;Casa;3;1;7;210;66;5208;150000000;Conchalí, Maipo;Amparo Canales Bustos;Vende Dueño/a
Conchalí;Casa;3;1;;115;77;2465;71000000;Conchalí, Alemania;Corredores Asociados;Corredores Asociados
Conchalí;Casa;3;2;No;175;120;3298;95000000;Conchalí, Av. Independencia/quilicura/metro vivaceta;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
Conchalí;Casa;4;2;No;180;135;4514;130000000;Conchalí, Casa esquina en Avenida / 180 m2 / 4 dormitorios / 2 baños;Vip Gestión inmobiliaria;Vip Gestion Inmobiliaria
Conchalí;Casa;4;2;4;180;135;4514;130000000;Conchalí, Avenida Cardenal José María Caro;Gestión inmobiliaria;Inmobienes.
Conchalí;Casa;3;2;;267;132;4861;140000000;Conchalí, Pasaje Maipo 1484;Paola Sepúlveda;Psp Propiedades
Conchalí;Casa;3;2;2;180;189;3229;93000000;;Sandra Vargas Céspedes;Alianza Pro Gestión Inmobiliaria
Conchalí;Casa;5;2;3;180;171;5555;160000000;;jaime gomez;Vende Dueño/a
Conchalí;Casa;2;;;170;60;2326;67000000;Conchalí, Conchalí, Región Metropolitana;Sandra Vargas Céspedes;Alianza Pro Gestión Inmobiliaria
Conchalí;Casa;2;1;No;250;225;11333;326400000;Conchalí, Casa de 2 pisos en Vivaceta;Armacima LImitada;Armacima Propiedades
El Bosque;Casa;2;1;No;500;0;6597;190000000;El Bosque, Eleutrio Ramirez/Alejandro Guzman;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
El Bosque;Casa;5;3;No;200;170;8680;250000000;El Bosque, las casitas/los patos;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
El Bosque;Casa;6;2;No;300;200;4514;130000000;El Bosque, Gran Avenida/America;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
El Bosque;Casa;3;1;No;113;91;1215;35000000;El Bosque, Casa de 1 Piso en Conjunto Héroes del Morro;Corretajes Prosal Ltda.;Corretajes Prosal
El Bosque;Casa;3;;;;;3472;100000000;El Bosque, Casa 220 m2, amplios espacios;Cima Propiedades;Cima Propiedades
El Bosque;Casa;3;2;4;410;160;6944;200000000;El Bosque, Eleuterio Ramírez;Dubois Propiedades;Dubois Propiedades
El Bosque;Casa;5;2;No;700;200;12950;372960000;El Bosque, Casa en Lo Espejo;Armacima LImitada;Armacima Propiedades
El Bosque;Casa;3;2;No;168;84;2430;70000000;El Bosque, Casa de 1 Piso en Villa Santa María;Corretajes Prosal Ltda.;Corretajes Prosal
El Bosque;Casa;3;;;148;77;2014;58000000;El Bosque, Pasaje Los Tilos 11966;Francisca Abarca;Francisca Abarca
El Bosque;Casa;3;1;2;228;60;4340;125000000;El Bosque, Humberto Allende;Francisca Abarca;Francisca Abarca
El Bosque;Casa;3;1;No;449;80;5805;167184000;El Bosque, Gran Avenida, El Observatorio;Schumacher Propiedades;Schumacher Propiedades
El Bosque;Casa;3;1;No;400;95;3403;98000000;El Bosque, Gral.Korner/j.M.Carrera/victor plaza mayorga;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
El Bosque;Casa;4;1;2;220;85;5902;170000000;El Bosque, Los Boldos 12360,;Edith Lorena Barra Lazo;Vende Dueño/a
El Bosque;Casa;4;2;1;270;170;2187;63000000;El Bosque, Calle nuevo Horizonte 684;Erick Marcelo Villanueva Rojas;Vende Dueño/a
El Bosque;Casa;3;2;4;170;100;3450;99360000;El Bosque, Mauricio Rugendas 12971;Rodrigo Cañas de la Cerda;Rodrigo Cañas de la Cerda Propiedades
El Bosque;Casa;3;1;1;220;78;3298;95000000;El Bosque, Av. Central 87;María José Jorquera;Vende Dueño/a
El Bosque;Casa;3;2;4;168;108;3993;115000000;El Bosque, Lo moreno;Juan Romero;Vende Dueño/a
El Bosque;Casa;5;3;2;355;240;6770;195000000;;Jorge Rodriguez;Difusion Propiedades
El Monte;Casa;3;1;No;300;68;1667;48000000;El Monte, Casa de 1 Piso en Villa Eden. El Monte;Corretajes Prosal Ltda.;Corretajes Prosal
El Monte;Casa;5;2;No;670;185;2604;75000000;El Monte, Casa de un piso en sector central de El Monte;Corretajes Prosal Ltda.;Corretajes Prosal
El Monte;Casa;3;;;;1800;6550;188640000;El Monte, Los Libertadores;Rossana;rspropiedades.com
Estación Central;Casa;4;2;No;120;89;3090;89000000;Estación Central, Av las torres/av santa corina;Procasa Adrian Ulloa Propiedades;Procasa Adrián Ulloa Propiedades
Estación Central;Casa;3;1;No;304;156;4220;121536000;Estación Central, Paraguay/Francisco Zelada;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
Estación Central;Casa;5;1;;114;100;2083;60000000;Estación Central, Los Duraznos 256;Bayron Eduardo Cooper Olguín;Vende Dueño/a
Estación Central;Casa;5;3;2;120;114;5902;170000000;Estación Central, El chucao;Romina Munoz;Vende Dueño/a
Estación Central;Casa;6;1;;350;100;12152;350000000;Estación Central, Recreo;paola roxana molina soto;Vende Dueño/a
Estación Central;Casa;5;2;2;250;120;5173;149000000;Estación Central, Av. Las Rejas Sur 300;Gloria Tirado Diaz;Vende Dueño/a
Estación Central;Casa;2;1;No;106;70;3298;95000000;Estación Central, Pajaritos/alameda/ruta 68/metro las rejas;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
Estación Central;Casa;4;2;4;300;40;3819;110000000;Estación Central, El Altarcillo;paola roxana molina soto;Vende Dueño/a
Estación Central;Casa;3;1;;200;160;3125;90000000;Estación Central, Pingüinos;Gestión inmobiliaria;Inmobienes.
Estación Central;Casa;4;2;2;250;200;5500;158400000;Estación Central, Francisco Collao;Gestión inmobiliaria;Inmobienes.
Estación Central;Casa;8;4;No;338;131;5208;150000000;Estación Central, Propiedad Comercial en Villa Las Rejas;Corretajes Prosal Ltda.;Corretajes Prosal
Estación Central;Casa;10;8;2;;500;6805;196000000;Estación Central, Estación Central;Marianella Vergara;Vende Dueño/a
Estación Central;Casa;5;2;No;625;250;13194;380000000;Estación Central, General Velasquez/Jotabeche;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Huechuraba;Casa;3;2;;240;90;2510;72288000;Huechuraba, Reinaldo Prado;Jorge Figueroa;Behouse
Huechuraba;Casa;3;2;1;115;84;4900;141120000;Huechuraba, Alberto Undurraga;Gustavo Alberto Muñoz Palma;G A M P. Propiedades
Huechuraba;Casa;5;3;2;315;131;7500;216000000;Huechuraba, Condominio Santa María de Huechuraba;Carlos Rivera Andrade;Sucasa Gestión Inmobiliaria
Huechuraba;Casa;6;2;2;145;138;4500;129600000;Huechuraba, Villa los libertadores;Danitza Obligado;Vende Dueño/a
Huechuraba;Casa;5;3;No;500;200;10900;313920000;Huechuraba, Los fresnos / pedro fontova/colegios: san francisco, boston, grace y pumahue.;Evaristo Lillo;Evaristo Lillo
Huechuraba;Casa;2;1;1;162;65;2292;66000000;Huechuraba, Guayalolen;Gestión inmobiliaria;Inmobienes.
Huechuraba;Casa;4;3;1;220;160;5950;171360000;Huechuraba, Del Estero 7556;david pavez;Vende Dueño/a
Huechuraba;Casa;3;2;No;4000;300;24000;691200000;Huechuraba, Pedro Fontova/Pedro Fontova;Pro Partners Propiedades;Pro Partners Propiedades
Huechuraba;Casa;5;5;No;430;171;10763;310000000;Huechuraba, Pedro fontova/camino el roble;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
Huechuraba;Casa;5;3;No;400;140;9650;277920000;Huechuraba, Los Fresnos;Vivaqui Propiedades;Vivaqui Propiedades
Huechuraba;Casa;4;3;No;169;128;5833;167990400;Huechuraba, Calle Camino del Roble N° 1790 casa 13, Huechuraba;Vivaqui Propiedades;Vivaqui Propiedades
Huechuraba;Casa;3;3;No;280;121;5520;159000000;Huechuraba, Av santa marta/el sauce;Propiedades Ricardo Vial y Cia. Ltda.;Propiedades Ricardo Vial y Cia. Ltda.
Huechuraba;Casa;4;3;2;230;140;6550;188640000;Huechuraba, Camino de Los Fresnos;CFPropiedades;Cf Propiedades S.P.A
Huechuraba;Casa;3;2;No;63;78;3191;91900000;Huechuraba, Diego Barros Arana con Las Torres;Walter Kraemer;Home Solutions
Huechuraba;Casa;4;3;No;193;123;7470;215136000;Huechuraba, Camino El Roble/Pedro Fontova Norte;Propiedades Centro Santiago SPA;Propiedades Centro Santiago SPA
Huechuraba;Casa;4;4;No;430;180;11400;328320000;Huechuraba, Pedro fontova/Pedro Fontova;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
Huechuraba;Casa;3;2;No;90;66;2963;85334400;Huechuraba, Casa en Villa Valle Verde;Armacima LImitada;Armacima Propiedades
Huechuraba;Casa;4;3;2;127;270;6600;190080000;Huechuraba, Altos del Carmen;CFPropiedades;Cf Propiedades S.P.A
Huechuraba;Casa;4;2;No;167;167;3530;101664000;Huechuraba, Fabian Oyanedel;Piren Propiedades;Piren Propiedades
Huechuraba;Casa;2;1;No;160;90;3194;92000000;Huechuraba, Los libertadores/santa marta;Propiedades Centro Santiago SPA;Propiedades Centro Santiago SPA
Huechuraba;Casa;4;4;2;480;240;12000;345600000;;Yaiza marrero;Vende Dueño/a
Huechuraba;Casa;5;3;2;550;165;9722;280000000;Huechuraba, Sector San Clemente;Sandra Jara C;Mundo propiedades Chile
Huechuraba;Casa;3;3;1;250;110;7300;210240000;Huechuraba, Camino de Cintura 1408;Corredor Pro SpA.;Corredorpro Spa
Huechuraba;Casa;3;3;2;184;140;6700;192960000;Huechuraba, Pedro Fontova;Cf Propiedades;Cf Propiedades
Huechuraba;Casa;4;3;2;206;108;6250;180000000;Huechuraba, Camino El Roble 1783;Jorge Figueroa;Behouse
Huechuraba;Casa;3;3;No;115;85;5090;146592000;Huechuraba, Pedro fontova norte/santa marta de huechuraba;Propiedades Centro Santiago SPA;Propiedades Centro Santiago SPA
Huechuraba;Casa;3;3;No;240;122;5600;161280000;Huechuraba, pedro fontova;Vivaqui Propiedades;Vivaqui Propiedades
Independencia;Casa;4;3;;144;125;3993;115000000;Independencia, Sevilla 1746;Giovanna Gutierrez;Vende Dueño/a
Independencia;Casa;4;3;2;290;220;7850;226080000;Independencia, Pintor Cicarelli;Juan José Figueroa;Vende Dueño/a
Independencia;Casa;5;3;;85;170;2014;58000000;Independencia, Grumete Bustos 658;Geraldine Macarena Márquez Morales;Vende Dueño/a
Independencia;Casa;3;1;;168;90;2778;80000000;Independencia, Conchalí;Ferrada&Vial;Ferrada&vial Spa
Independencia;Casa;4;2;3;130;;4513;129990000;Independencia, Longitudinal seis 585;Montt Propiedades ltda;Montt Propiedades ltda
Independencia;Casa;8;3;No;298;0;7638;220000000;Independencia, Guanaco/Cotapos;RED Gestión Propiedades;Red Gestión Propiedades
Independencia;Casa;3;2;No;0;102;5173;149000000;Independencia, Maruri 279;María Fernanda;Invierte Propiedades
Independencia;Casa;4;1;;100;100;2778;80000000;Independencia, Sevilla 1211;Eduardo GZ;Vende Dueño/a
Independencia;Casa;4;2;;120;120;2604;75000000;Independencia, 3 Norte / Gamero;Maria Lorena Rodriguez Dominguez;Navacasa Propiedades
Independencia;Casa;8;4;No;261;174;7990;230112000;Independencia, Pablo urzua/independencia;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Independencia;Casa;6;1;1;199;180;4062;117000000;;Sandra Vargas Céspedes;Alianza Pro Gestión Inmobiliaria
Independencia;Casa;4;2;1;235;126;5208;150000000;Independencia, Enrico Fermi;Gisel Acuña;Vende Dueño/a
Independencia;Casa;2;1;;70;70;1215;35000000;Independencia, San Luis 1653;Maria Lorena Rodriguez Dominguez;Navacasa Propiedades
Independencia;Casa;6;1;No;200;180;6875;198000000;Independencia, Davila/Echeverria;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Independencia;Casa;4;2;;80;160;3230;93024000;Independencia, Pasaje indepencia  2538;Doris Macaya;Hestia Marketing Inmobiliario
Independencia;Casa;3;1;2;164;123;4236;122000000;Independencia, Blanco Fombona 2438;Saul Gutierrez;Vende Dueño/a
Independencia;Casa;2;1;;75;66;2257;65000000;Independencia, Pasaje Echeverria 964, casa 4;Claudia Silva;Vende Dueño/a
Independencia;Casa;3;1;No;70;70;2014;58000000;Independencia, Entre la Calle Tacora y Reina Maria (Catorce La Fama);Santa Lucia Propiedades;Santa Lucia Propiedades
Independencia;Casa;4;2;No;340;120;8945;257616000;Independencia, Domingo santa maria/maruri;RED Gestión Propiedades;Red Gestión Propiedades
Independencia;Casa;3;1;No;198;68;5208;150000000;Independencia, Vivaceta/ metro chacabuco/domingo santa maria;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
Independencia;Casa;9;2;;231;231;14123;406742400;Independencia, Gral. Prieto / independencia;Kap Propiedades;Vende Dueño/a
Independencia;Casa;2;1;No;170;70;2257;65000000;Independencia, Autopista central/vivaceta/metro conchalí;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
Independencia;Casa;4;2;No;252;134;5930;170784000;Independencia, Chillan / Vivaceta/Hipodromo Chile / Independencia;Evaristo Lillo;Evaristo Lillo
La Cisterna;Casa;3;3;1;67;;4687;135000000;La Cisterna, Ossa /  pasaje los juncos;MARCO ANTONIO MORELLI RODRIGUEZ;Marco Morelli
La Cisterna;Casa;3;1;4;310;80;6250;180000000;La Cisterna, la cisterna;Orbital Inmobiliario;Vende Dueño/a
La Cisterna;Casa;3;1;1;72;50;2951;85000000;La Cisterna, Lo ovalle;Karelys Rojas Clemente;Vende Dueño/a
La Cisterna;Casa;5;2;No;900;192;11458;330000000;La Cisterna, Trinidad ramirez/lo espejo;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
La Cisterna;Casa;2;2;1;250;52;2778;80000000;La Cisterna, La Cisterna;Karelys Rojas Clemente;Vende Dueño/a
La Cisterna;Casa;5;2;No;435;270;9722;280000000;La Cisterna, Gran Avenida / Americo Vespucio;María Fernanda;Invierte Propiedades
La Cisterna;Casa;6;3;4;613;256;6597;190000000;La Cisterna, Av. Ossa 573;Corretajes Prosal Ltda.;Corretajes Prosal
La Cisterna;Casa;3;3;3;430;270;9687;279000000;La Cisterna, El parrón;Paulina Arias Cisternas;Pear Propiedades
La Cisterna;Casa;4;1;1;72;;2604;75000000;La Cisterna, La Cisterna;Karelys Rojas Clemente;Vende Dueño/a
La Cisterna;Casa;3;2;2;160;99;4514;130000000;La Cisterna, Sta Corina 567;Marco Antonio Matamala Carrasco;Vende Dueño/a
La Cisterna;Casa;5;3;No;700;205;8472;244000000;La Cisterna, Gran Avenida/Las Brisas;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
La Cisterna;Casa;4;2;No;320;80;6250;180000000;La Cisterna, echeverria/victoria;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
